prob_state_1,prob_state_2,prob_state_3,date,assigned_state
1.0,0.0,2.307561992351978e-22,2017-05-31,1
0.9999999992261337,0.0,7.739160380102212e-10,2017-06-30,1
0.9999999951418204,0.0,4.8581419882728695e-09,2017-07-31,1
0.9999999996372253,0.0,3.627670076109493e-10,2017-08-31,1
0.9999998173482421,0.0,1.8265174651977837e-07,2017-09-30,1
0.999999926818421,0.0,7.318157468828372e-08,2017-10-31,1
0.9999979926123754,0.0,2.007387620553223e-06,2017-11-30,1
0.9999938454279337,0.0,6.154572076126702e-06,2017-12-31,1
0.9999799021230164,0.0,2.0097876965985545e-05,2018-01-31,1
0.9880839099898922,0.0,0.011916090010086415,2018-02-28,1
0.9750291488934134,0.0,0.024970851106616326,2018-03-31,1
0.9982654288561795,0.0,0.001734571143843382,2018-04-30,1
0.9999990464309575,0.0,9.53569010119744e-07,2018-05-31,1
0.9999011038666696,0.0,9.889613332835881e-05,2018-06-30,1
0.999999239153288,0.0,7.608466840314036e-07,2018-07-31,1
0.999998098260324,0.0,1.9017396285819899e-06,2018-08-31,1
0.9999067514402992,0.0,9.324855967747392e-05,2018-09-30,1
0.9980043572265473,0.0,0.0019956427734075456,2018-10-31,1
0.9997941655882585,0.0,0.00020583441172832668,2018-11-30,1
7.038466569087051e-06,0.0,0.9999929615333804,2018-12-31,3
3.39838222308273e-05,0.0,0.9999660161777706,2019-01-31,3
0.9524733972405789,0.0,0.04752660275945961,2019-02-28,1
0.9993767372353485,0.0,0.0006232627646502509,2019-03-31,1
0.9999483700844448,0.0,5.1629915534212675e-05,2019-04-30,1
0.9994642708670014,0.0,0.0005357291329495533,2019-05-31,1
0.9940219299787076,0.0,0.005978070021267785,2019-06-30,1
0.9999824932019651,0.0,1.7506798082876364e-05,2019-07-31,1
0.9994584170807486,0.0,0.0005415829192664233,2019-08-31,1
0.9997947395584323,0.0,0.00020526044160008608,2019-09-30,1
0.9997973685107217,0.0,0.00020263148923121345,2019-10-31,1
0.9999637831544852,0.0,3.62168455091885e-05,2019-11-30,1
0.999985731780313,0.0,1.4268219630652626e-05,2019-12-31,1
0.9999632415084224,0.0,3.675849152679374e-05,2020-01-31,1
0.1347770181774414,0.0,0.8652229818225708,2020-02-29,3
2.673797813110659e-51,0.0,1.0,2020-03-31,3
2.2578748377406284e-30,0.0,1.0,2020-04-30,3
2.2998599186676563e-44,1.0,1.4766375151336247e-32,2020-05-31,2
1.1020341098769503e-10,0.0,0.9999999998898375,2020-06-30,3
2.739140669988233e-08,0.0,0.9999999726086347,2020-07-31,3
0.00012587117772447303,0.0,0.9998741288222314,2020-08-31,3
1.3881638570474432e-05,0.0,0.9999861183613928,2020-09-30,3
2.1964179556205146e-07,0.0,0.9999997803581905,2020-10-31,3
5.2015596297961426e-11,0.0,0.9999999999479314,2020-11-30,3
0.0005474269722247517,0.0,0.999452573027777,2020-12-31,3
0.0003969118688662977,0.0,0.9996030881310822,2021-01-31,3
0.02471223535176152,0.0,0.9752877646482124,2021-02-28,3
0.9995650094194521,0.0,0.0004349905805872857,2021-03-31,1
0.9999888001043115,0.0,1.119989574362026e-05,2021-04-30,1
0.9998141495418711,0.0,0.00018585045808934583,2021-05-31,1
0.9999607295909176,0.0,3.9270409098945924e-05,2021-06-30,1
0.9999755270745412,0.0,2.4472925439396934e-05,2021-07-31,1
0.9999997685548846,0.0,2.3144515481931183e-07,2021-08-31,1
0.9910461516901531,0.0,0.008953848309854214,2021-09-30,1
0.9997376910398402,0.0,0.0002623089601506671,2021-10-31,1
0.9999996460036926,0.0,3.53996356112443e-07,2021-11-30,1
0.16404199778444464,0.0,0.8359580022155463,2021-12-31,3
0.00029671720356727035,0.0,0.9997032827964698,2022-01-31,3
1.2710974667143911e-05,0.0,0.999987289025352,2022-02-28,3
5.753278122619227e-06,0.0,0.9999942467218917,2022-03-31,3
2.0505724046576624e-07,0.0,0.9999997949427307,2022-04-30,3
3.7986982238050876e-11,0.0,0.9999999999620286,2022-05-31,3
4.234288227793264e-09,0.0,0.9999999957657337,2022-06-30,3
8.150244843828041e-10,0.0,0.9999999991849791,2022-07-31,3
2.4881728330937913e-05,0.0,0.9999751182716498,2022-08-31,3
3.3013483118871947e-11,0.0,0.9999999999670308,2022-09-30,3
3.6828722953836156e-21,0.0,1.0,2022-10-31,3
1.0145190013238712e-08,0.0,0.999999989854814,2022-11-30,3
3.0181563735214257e-08,0.0,0.9999999698184188,2022-12-31,3
1.2254391424577517e-06,0.0,0.999998774560891,2023-01-31,3
0.001215784863331673,0.0,0.9987842151366397,2023-02-28,3
0.0002188528896059065,0.0,0.9997811471104294,2023-03-31,3
0.9799491861140623,0.0,0.02005081388593307,2023-04-30,1
0.9998250175109356,0.0,0.00017498248910209868,2023-05-31,1
0.9999999999939746,0.0,6.078818146521841e-12,2023-06-30,1
0.9999999996099405,0.0,3.900471962550565e-10,2023-07-31,1
0.999999999956799,0.0,4.3164822266494976e-11,2023-08-31,1
0.9999999999969305,0.0,3.0137265566111812e-12,2023-09-30,1
0.9999321765684508,0.0,6.782343159021938e-05,2023-10-31,1
0.9999739816007992,0.0,2.601839920057891e-05,2023-11-30,1
0.9999999938276005,0.0,6.172387207674771e-09,2023-12-31,1
0.999999964113045,0.0,3.588695990223535e-08,2024-01-31,1
0.9999999999427018,0.0,5.733388624140879e-11,2024-02-29,1
0.999999999968054,0.0,3.1948078047885226e-11,2024-03-31,1
0.9999999862914138,0.0,1.3708535977256776e-08,2024-04-30,1
0.9999999996697397,0.0,3.3027054171149295e-10,2024-05-31,1
0.9999999999535021,0.0,4.650029243251863e-11,2024-06-30,1
0.9999998839130125,0.0,1.1608703731878286e-07,2024-07-31,1
0.9999994580119042,0.0,5.419881249177537e-07,2024-08-31,1
0.9999999640155017,0.0,3.598448146006346e-08,2024-09-30,1
0.9999999996041424,0.0,3.9587904045756953e-10,2024-10-31,1
0.9999999877697975,0.0,1.223017874235623e-08,2024-11-30,1
0.9999977276027847,0.0,2.2723972067288823e-06,2024-12-31,1
0.9999607191030366,0.0,3.9280896979066384e-05,2025-01-31,1
0.9821831971246817,0.0,0.017816802875281798,2025-02-28,1
0.002184580899722506,0.0,0.9978154191002301,2025-03-31,3
9.445934694750167e-09,0.0,0.9999999905541017,2025-04-30,3
0.1453975565826548,0.0,0.854602443417311,2025-05-31,3
0.5562449547386771,0.0,0.4437550452612988,2025-06-30,1
0.9967971104540301,0.0,0.0032028895460117584,2025-07-31,1
0.9999986053118795,0.0,1.3946880709889392e-06,2025-08-31,1
0.9999935521586676,0.0,6.4478413441969084e-06,2025-09-30,1
0.9999692425703555,0.0,3.075742964588213e-05,2025-10-31,1
0.9997501088710476,0.0,0.0002498911289106652,2025-11-30,1
0.9999858761134816,0.0,1.4123886476365428e-05,2025-12-31,1
0.9930718738395159,0.0,0.006928126160521025,2026-01-31,1
0.9686108420105329,0.0,0.03138915798942406,2026-02-28,1
1.129676349591401e-25,1.0,3.450551155338467e-27,2026-03-31,2
0.9576806445112845,0.0,0.04231935548868032,2026-04-30,1
